epoch = 1...
...
...
epoch = 881, mse = 0.007, Percentage = 74/75 = 98.67%
epoch = 882, mse = 0.007, Percentage = 74/75 = 98.67%
epoch = 883, mse = 0.007, Percentage = 74/75 = 98.67%
epoch = 884, mse = 0.007, Percentage = 74/75 = 98.67%
epoch = 885, mse = 0.007, Percentage = 74/75 = 98.67%
epoch = 886, mse = 0.007, Percentage = 74/75 = 98.67%
epoch = 887, mse = 0.007, Percentage = 74/75 = 98.67%
epoch = 888, mse = 0.007, Percentage = 74/75 = 98.67%
epoch = 889, mse = 0.007, Percentage = 74/75 = 98.67%
epoch = 890, mse = 0.007, Percentage = 74/75 = 98.67%
epoch = 891, mse = 0.007, Percentage = 74/75 = 98.67%
epoch = 892, mse = 0.007, Percentage = 74/75 = 98.67%
epoch = 893, mse = 0.007, Percentage = 74/75 = 98.67%
epoch = 894, mse = 0.007, Percentage = 74/75 = 98.67%
epoch = 895, mse = 0.007, Percentage = 74/75 = 98.67%
epoch = 896, mse = 0.007, Percentage = 74/75 = 98.67%
epoch = 897, mse = 0.007, Percentage = 74/75 = 98.67%
epoch = 898, mse = 0.007, Percentage = 74/75 = 98.67%
epoch = 899, mse = 0.007, Percentage = 74/75 = 98.67%
epoch = 900, mse = 0.007, Percentage = 74/75 = 98.67%
epoch = 901, mse = 0.007, Percentage = 74/75 = 98.67%
epoch = 902, mse = 0.007, Percentage = 74/75 = 98.67%
epoch = 903, mse = 0.007, Percentage = 74/75 = 98.67%
epoch = 904, mse = 0.007, Percentage = 74/75 = 98.67%
epoch = 905, mse = 0.007, Percentage = 74/75 = 98.67%
epoch = 906, mse = 0.007, Percentage = 74/75 = 98.67%
epoch = 907, mse = 0.007, Percentage = 74/75 = 98.67%
epoch = 908, mse = 0.007, Percentage = 74/75 = 98.67%
epoch = 909, mse = 0.007, Percentage = 74/75 = 98.67%
epoch = 910, mse = 0.007, Percentage = 74/75 = 98.67%
epoch = 911, mse = 0.007, Percentage = 74/75 = 98.67%
epoch = 912, mse = 0.007, Percentage = 74/75 = 98.67%
epoch = 913, mse = 0.007, Percentage = 74/75 = 98.67%
epoch = 914, mse = 0.007, Percentage = 74/75 = 98.67%
epoch = 915, mse = 0.007, Percentage = 74/75 = 98.67%
epoch = 916, mse = 0.007, Percentage = 74/75 = 98.67%
